artist,gender,group,country
drake,male,person,ca
post malone,male,person,us
ed sheeran,male,person,gb
j balvin,male,person,co
bad bunny,male,person,pr
ariana grande,female,person,us
khalid,male,person,us
daddy yankee,male,person,pr
billie eilish,female,person,us
the chainsmokers,mixed,group,us
nicky jam,male,person,pr
maluma,male,person,co
shawn mendes,male,person,ca
sam smith,other,person,gb
kygo,male,person,no
marshmello,male,person,us
dj snake,male,person,fr
young thug,male,person,us
taylor swift,female,person,us
martin garrix,male,person,nl
lady gaga,female,person,us
lauv,male,person,us
lewis capaldi,male,person,gb
chris brown,male,person,us
katy perry,female,person,us
lil nas x,male,person,us
tones and i,female,person,au
jonas brothers,mixed,group,us
lunay,male,person,pr
lil tecca,male,person,us
lizzo,female,person,us
meduza,male,person,it
jhay cortez,male,person,pr
ali gatie,male,person,ca
y2k,male,group,ca
sech,male,person,pa
